Row ID,Bulan,Tahun,Total Day,LOCATION,Region,Position,Pemakaian,Baseline per day,Baseline,,Row ID,Bulan,TAHUN,Total Day,Area,Region,Position,REAL,Baseline per day,BATAS,,month,Realisasi,BASELINE,EFISIENSI kWh 2023,Persentase,,LOKASI,Total Pemakaian 2024,Total Pemakaian 2023,Total Baseline per lokasi 2023,,MONTH,REALISASI,BASELINE PERBULAN 2024,EFISIENSI kWh 2024,persentase,,BULAN,TEMPAT,DASAR,PENGGUNAAN,PENGHEMATAN,RANK
28,APRIL,2023,30,ER LBB,REGION 1,STATION ELEVATED,77012,2236,67080,,28,FEBRUARY,2024,29,ER BNH,REGION 3,UNDERGROND,315352,-,300627,,,,,,,,,,,,,,,,,,,February,Bendungan Hilir,348141,315352,9.40%,9
29,MAY,2023,31,ER LBB,REGION 1,STATION ELEVATED,70226,2236,69316,,29,FEBRUARY,2024,29,ER STB,REGION 3,UNDERGROND,282185,-,298883,,,,,,,,,,,,,,,,,,,February,Setiabudi,329521,282185,14.40%,7
30,JUNE,2023,30,ER LBB,REGION 1,STATION ELEVATED,60416,2236,67080,,30,FEBRUARY,2024,29,ER DKA,REGION 3,UNDERGROND,427299,-,457411,,,,,,,,,,,,,,,,,,,February,Dukuh Atas,540005,427299,20.90%,3
31,JULY,2023,31,ER LBB,REGION 1,STATION ELEVATED,60900,2236,69316,,31,FEBRUARY,2024,29,ER BHI,REGION 3,UNDERGROND,475895,-,475724,,,,,,,,,,,,,,,,,,,February,Bundaram HI,491118,475895,3.10%,13
32,AUGUST,2023,31,ER LBB,REGION 1,STATION ELEVATED,64224,2236,69316,,32,FEBRUARY,2024,29,ER RSS,REGION 2,TAMAN SAMBAS,16660,-,17443,,,,,,,,,,,,,,,,,,,February,RSS,17487,16660,4.70%,11
33,SEPTEMBER,2023,30,ER LBB,REGION 1,STATION ELEVATED,64760,2236,67080,,33,MARCH,2024,31,ER WKS,REGION 1,DEPO,147770,-,162363,,,,,,,,,,,,,,,,,,,March,Workshop,162774,147770,9.20%,7
34,OCTOBER,2023,31,ER LBB,REGION 1,STATION ELEVATED,79955,2236,69316,,34,MARCH,2024,31,ER ADM,REGION 1,DEPO,183760,-,176236,,,,,,,,,,,,,,,,,,,March,Administrasi,176683,183760,-4.00%,16
35,NOVEMBER,2023,30,ER LBB,REGION 1,STATION ELEVATED,96324,2236,67080,,35,MARCH,2024,31,ER LBB,REGION 1,ELEVATED,68382,-,69330,,,,,,,,,,,,,,,,,,,March,Lebak Bulus,70487,68382,3.00%,12
36,DECEMBER,2023,31,ER LBB,REGION 1,STATION ELEVATED,88807,2236,69316,,36,MARCH,2024,31,ER FTM,REGION 1,ELEVATED,73654,-,69864,,,,,,,,,,,,,,,,,,,March,Fatmawati ,73755,73654,0.10%,14
37,JANUARY,2023,31,ER FTM,REGION 1,STATION ELEVATED,67823,2254,69874,,37,MARCH,2024,31,ER CPR,REGION 1,ELEVATED,50172,-,76786,,,,,,,,,,,,,,,,,,,March,Cipete Raya,77373,50172,35.20%,1
